full_text,english_text
 alasannya sty denger apa kata pundit botak si serba belanda,The reason is that I hear what the Bald Pundit Si Dutch said
 timnas indo udh di bawa sty aja sampe sejauh ini udah bersyukur tinggal tunggu momentnya aja klo di ganti kaya gtu moment yg timnas indo cari bakal ilang balik ke 0 lagi percaya sama gw,"The Indo national team has just been brought to this so far, it's grateful that you just have to wait for the moment to be replaced like the moment that the national team indo is looking for it will go back to 0 again believe me"
 patrick kluivert ganti sty entah apa prestasinya sbg pelatih pernah melatih timnas dan bertanding di piala dunia di level klub juga entah apa klubnya nggak ada prestasi sama sekali kelebihannya ya cuma orang belanda komunikasi lbh lancar ,"Patrick Kluivert Change Sty I don't know what his achievements as a coach have trained the national team and competed at the World Cup at the club level, I don't know if the club had no achievements at all, so only the Dutch people communication smoothly"
awal sty masuk bener bener dirujak gara dari korea tapi pak ibul yang pasang badan minusnya kanjuruhan sama suka vc pemain dan muka dia yang gede di poster timnas,The beginning of the Sty entered correctly was right from Korea but Mr. Ibul who pairs the minus body of Kanjuruhan like VC players and his face is big on the national team poster
tolol tb tb sty di pecat,stupid tb tb style in fired
 gue mah kaga peduli anjir ama sty mereka gamau tau soal proses trus ampe nanti sisa match kualifikasi ampe kalah awas aja smpe congor mereka nyebut alesan prosas proses apalagi proses adaptasi pemain ama pelatih beraakk,They care about their sty styles and they know the process of the amp.
 saya lebih bangga bila sty menyelesaikan tugasnya sampai babak penyisihan grup pildun ini selesai meskipun kita tidak lolos daripada seperti ini ,I am more proud if Sty completed his job until the elimination round of the Pilduun group was completed even though we did not qualify than like this
hari ke 9 1 kangen sty dedicated korea republic national team jersey gatau taun berapa wkwk ,Day 9 1 Kangen Sty Dedicated Korea Republic National Team Jersey Gatau how many wkwk
 haus akan pengakuan dulu kalo mancini sukses mancini yg di puji sekarang kalo sty sukses karena bukan dia yg rekrut paling sty yg dipuji,thirst for recognition first if Mancini is successful Mancini who is praised now if style is successful because it is not the one who recruited the most style that was praised
 ina ya makanya sty diganti klo kemarin bukan sty pelatihnya aff kita pasti masuk final tp ya jd runner up lg soalnya bandar pada main akmal aja keceplosan kok bilang katanya aff marah gara gara indo pakai u22 apa alasannya coba orang aff marah marah ,"Ina, that's why the style was replaced if yesterday was not the style of the AFF coach, we would have entered the final but so I runner up again because the dealer was playing Akmal."
 redsindo kita bicara cv yg real terpampang sebagai pengalaman kerja dia dia di curacao gagal total terus di adana demirspor cuman rank 12 jadi apa tolak ukurnya gw gak masalah sebenarnya sty dipecat asal penggantinya top tier yakin gw kalo lvg yg masuk gbakal kenceng gini ributnya,"Redsindo we talk about the real CV displayed as his work experience he is in Curacao Failed Continue to Adana Demirspor Only Rank 12 So what is the measurement I don't have a problem, the actual style is fired as long as the replacement is Tier, I am sure that the LVG who enters the fragility"
 ketua pssi selerenya ampas jadi ngambil pelatih pun dgn kualitas ampas prestasi kluivert jadi pemain pun gak bagus amat cuma di ajax doang selebihnya amburadul di milan di barca pun gak bagus jadi pelatih pun kluivert sangat buruk dibandingkan dgn sty ya jauh ,"Chairperson of PSSI Serene is the pulp, so I take the coach with the quality of the kluivert achievement so that the player is not very good only in Ajax, the rest is chaotic in Milan in Barca, not good so the coach is very bad compared to Sty"
tmn gua ampe nangis sty dipecat ,Tmn I am crying Sty
 faktanya menang lawan arab bukan murni strategi sty bang jay yg ngumpulkan pemain bukti si marceng ditegur terus krn tidak pada tempat nya diancam diganti ,The fact is that winning against Arabic is not purely Sty Bang Jay's strategy who collects the evidence of the Marceng is reprimanded because he is not in place to be replaced
sek raiso kerjo polisi sek dipecat sty ,Sek Raiso Kerjo Police Sek Fired Sty
 mungkinkah kesalahan sty sebanding dengan berbagai prestasi yg di raih timnas selama bersama dia ,Could the mistake of Sty be comparable to the various achievements achieved by the national team during with him
kmrn kantor heboh bgt diskusi sty di kick apa kagak,Yesterday the office was excited about Discussion Sty in kick or not
 terima kasih coach sty,thank you coach style
 ina biarin aja sty out kasian sty kalo masih terus ngelatih negara bobrok ini,Ina just let it be style if you still continue to train this dilapidated country
 orang malaysia pun bisa apresiasi pencapaian sty tapi mafia2 tolol itu bilang semua hanya hoki ,Malaysians can appreciate the achievement of style but the stupid mafia says all are just hockey
gapaham lg dah udh sejauh ini jd pelatih jg ga gampang pelatih baru ini jg psti butuh waktu pertanyaannya mau smpe kapan jatohnya udh kayak dibantu sm sty berkembang malah dimulai dari 0 lg sm pssi sat,"gapahaham, so far, so far, the coach is also not easy for this new coach to also need when the question is to want when the fall is like the help of sm style even starting from 0 lg sm pssi sat sat"
 buat klean semwa yg musuhin sty ,make a semwa klean enemy style
 logika macam apa ini namanya pertandingan ya pasti klo kalah marah ke pelatih marah ke pemain hal biasa koq seakan2 membuat et jd hero nya disini pertandingan aja belum koq sudah jd pahlawan duluan biar sty ga di maki2 lha klo menang ,"What kind of logic is this called the match, surely if you lose angry to the coach angry at the usual player, how come it seems to make the hero here, the match is not yet a hero, so it's not in the maki2 if you win if you win"
 asli bro tadi banyak bgt gua liat jurnalis dari eropa nge tweet tentang keputusan indonesia mecat sty trus milih nya si patrick kaya jadi tanda besar ,"Original bro, there were a lot of them, I saw a journalist from Europe, tweeted about the Indonesian decision to make it, then the Patrick was like a big sign"
karena timnas berkembang sejauh itu dibawah sty gue sampe lupa pssi sejelek apa,because the national team developed that far below my style until I forgot what kind of PSSI
ini pssi gimana sih track record se buruk ini yang gantiin sty,"This is PSSI, how is the track record this bad"
 gue cuma bisa bilang terima kasih sty atas apapun yang anda berikan buat tim nas kami dan maafkan sikap tidak tau berterima kasih sebagian fans timnas kami yang masih pundit dan pemula,I can only say thank you for whatever you give for our NAS team and forgive the attitude of not knowing about some of our national team fans who are still pundit and beginners
 ada angin sepoi yg membisikan bahwa sty ogah rekrut para para pemain titipan ya sdh di pecat saja prestasi ga penting yg penting itu cuma mau nurut apa yg di perintah kan,"There is a gentle breeze that whispered that Sty was reluctant to recruit the players who were left in the right, but just fired, the important achievements were only important to obey what was ordered right"
bonding coach sty sama pemain timnas udh kuat bgt,Bonding Coach Sty with the national team players already strong
 apa goals nya jadi ba brand brand doang itu hak dia gaji dia dari pssi mungkin gak seberapa sama pressure dia melatih timnas jadi wajar aja banyak company dan brand pake jasa sty kalo mau berargumen pake fakta dilapangan aja jgn framing yg gk jelas ,"Is the goal so the brand brand is the right of his salary from PSSI, maybe not how much the pressure he trains the national team so it is only natural that there are many companies and brands using stylish services if you want to argue using facts in the field, just don't framing that is not clear"
 redsindo dia pikir dia yg paling berjasa utk sepakbola indo pdhl itu cuma di pikiran dia semua gelinya lagi rakyat indo yg sebelumnya menggaungkan sty out merasa timnas plg jago langganan piala dunia memang paling susah mengajarkan bersyukur amp apa arti sebuah proses ke orang2 bebal,"Redsindo he thinks he is the most meritorious for Indo football PDHL is only in his mind all the Gels again, the people of Indo who previously echoed the Sty Out feeling that the national team was good at the world cup subscription, it was the most difficult to teach grateful what was the meaning of a process to people"
 alah rumor mees kevin baru gabung juga langsung dimainin harusnya malah dilit sty sama pemain itu udah bonding kek bapak sama anak,Rumor Mees Kevin just joined and immediately played it should instead be dilit style with the player already bonding to the father and child
 cipeng perlu hati sty bisa jadi uchiha ,Cipeng Needs Heart Sty Can Be Uchiha
 ina masih bang bagi penyepongnya sty kebanyakan bocah kpoper dan drakor,Ina is still bang for her gym. Most of the kpoper and drakor kid
 semoga sty jadi coach malaysia ,I hope Sty will be a Malaysian coach
gmn sepak bola indonesia mau maju dan enak ditonton orang2nya aja begini isinya nyebelin banget semuanya mau instan ga mau proses panjang titap titip kyk amplop dibawa ke kondangan baguslah better sty di negara yg lebih bs menghargai orang lain aja ,"how are Indonesian football want to progress and enjoy the people just like this, the contents are really annoying, everyone wants to be instant, not wanting to process a long process, which is brought to a good invitation, better style in a country that can just respect others."
biasalah ilmu dan kerja keras kadang kurang difahami dan dihargai taunya mak bedunduk hasil sabar bersyukur semangat selfreminder sty ,Usually knowledge and hard work are sometimes misunderstood and appreciated
tapi kalian ga denger suara sebagian besar suporter timnas yg pengen sty stay,But you don't hear the voices of most national team supporters who want to be stylish
 huh semakin kepingin keluar dari negara indonesia padahal aku cinta bgtt sama indonesia tp mkn kesini liat negara kok mkn amburadul kaya gini mudah2an tahun depan udah bs pergi ke aussie dan stay disana jujur cinta indonesia bgt tp indonesia gbs menghargai kerja sty,"huh more and more want to get out of the country of Indonesia even though I love it with Indonesia, but before, seeing the country, how come you are in good office, it's easy for you to go to Aussie and stay there, honestly, love Indonesia, but Indonesia doesn't appreciate the work of Sty"
 msib bubar sty cabut full member brics dan januari 2025 baru satu minggu,MSIB Disbands Sty Full Member Brits and January 2025 Only One Week
 pemecatan sty karena komunikasi yang kurang ini masalah non teknis namun mempengaruhi masalah teknis di lapangan eh kontol lu liat pelatih pilihan lu pernah pergi liburan saat dia harusnya melakukan negosiasi dengan pelatih baru terus alasannya lupa begoooo ,Disappointment of Sty because of this lack of communication is a non -technical problem but affects technical problems in the field eh dick you see the coach of your choice ever go on vacation when he should negotiate with a new coach and then the reason for forgetting begoooo
 ina goblok lu tau van gaal pelatih ternama daripada sty,"Ina, you know, you know van Gaal, a famous coach than Sty"
gapapa indo terimakasih ya sty,"it's okay indo, thank you"
kekurangan sty emang terlalu baik mempertahankan orang orang yg tidak terlalu kompeten pergerakan bolanya bagus tapi itu itu aja semoga yg baru lebih okee,Lack of Sty is too good to maintain people who are not too competent in the movement of the ball is good but that's all the new ones are okay
 orang belom kebukti hasilnya udah bahas track record kata mereka yang kalau rekrut karyawan ngecek 1 lulusan mana 2 ipk berapa 3 bi checkingnya gimana 4 alamat rumahnya di mana 5 umurnya berapa standar kok ganda kaya parkir motor dalem rumah thank you coach sty ,"People have not been proven that the results have discussed the track record, said those who if the employee recruited 1 graduate where 2 GPAs were 3 bi checking, how are the 4 home addresses where 5 ages are how many standards are rich in motorbike park"
sedih bgt bangun2 sty out,sad really wake up style out
 ado mungkin karna banyak yg naroh ekspektasi tinggi bahwa pelatih baru ini setidaknya punya record yg lebih dari sty tapi yaitu sampe rasis ke pk juga berlebihan ada yg blg pling bnr yah enjoy the momen aja nasi udah jadi bubur pk pnya peluang 50 50 bwa timnas lbh bagus atau gak,"ADO maybe because many are high expectations that this new coach has at least a record that is more than Sty but that is until racist to PK also excessively there is a pling bnr well, just enjoy the moment of rice, it has become porridge PK Por not"
 gue suka sty krn prosesny yg disiplin skr klo indo lolos pildun pdahal hasil kerja keras sty bangun pondasi metik buahny malah pk amp et klo gk gk lolos pildun yg rugi kita bangsa indo gue gak respect dgn cara pssi skrg tak kira et bawa prubahn eh nurut sm towel ,I like the sty of the disciplined process of the scoop in the Indo Lolos Pildun in the hard work of the sty to wake up the foundation of the fruit and even pk amp et klo gk gk lolos pildun we lose indo indo I do not respect the way now no matter what it is liketowel
 pemain jadi kambing hitam seolah olah pemain vs sty bermasalah ,the player becomes a scapegoat as if the player vs style is problematic
mungkin krn sty ga mau ttd spj fiktif,Maybe because Sty doesn't want TTD SPJ fictitious
 tunggu anaknya sty bocorin aja apa yg terjadi selama 5 tahun ini bang mat tapi aneh ya kenapa gantinya malah temennya spongebob ,"Wait for his son to just leak just what happened for 5 years, Bang Mat, but it's strange, why is it instead of his friend Spongebob"
 ya allah kenapaaaa sihh aku kira pssi uda mulai mbener sty ga bakal dipecat tp ternyataa gimana mau maju kalau pohon mau berbuah aja ditebang mulu ,"O Allah, why do I think PSSI has started to start, but it will not be fired but it turns out that how do you want to progress if the tree wants to bear fruit"
 redsindo sty bagus konyol,Redsindo Sty Good Silly
 yg kerja keras itu murni sty dan pemain et cuma sebagai perantara pemain naturalisasi jd hasil yg didapat timnas sekarang itu 100 perjuangan sty dan pemain timnas bukan kerja et,the hard work is pure style and ET players only as an intermediary for naturalized players so the results obtained by the national team now are 100 Sty struggles and national team players not work ET
berharap semoga ada plot twist ,Hope there is a plot twist
 ina nah sty jg sama ga bisa di atur makanya pssi milih si pk krn si pk butuh uang bwt bayar utang judi nanti pas ngelatih jg ikutin bandar asal cuanny kenceng,Ina nah sty is not as good as it can be the PSSI to choose the PK because the PK needs money to pay for the gambling debt when it comes to the canny city of Cuanny
si paling ngerasa kehilangan sty tuh kritik pssi nolak kluivert makanya klo nnton timnas jangan nyari nathan ama hubner doang ,"The most felt losing Sty, the criticism of PSSI refused Kluivert, so if the national team did not find Nathan Ama Hubner only"
 emang aneh banget kok kayaknya pak eto dapat tekanan deh entah dari siapa kayaknya juga syt masuk jebakan batman nya federasi deh disuruh pakai pemain usia muda dan tanpa target ketika gagal sty di salahkan gigit bakiak deh,"It is really strange, I think Mr. Eto can get pressure from whom I think I am also in the Batman trap, the federation is told to use a young player and without the target when it fails to be tired of bite the clogs"
 yena sty dipecat yg rugi itu bukan sty sty mah dapet pesangon gede karena diputus kontrak sepihak disini yg rugi kan timnas,"Yena Sty fired, the loss is not Sty Sty Mah to get a big severe severe because it was decided by a unilateral contract here the loss was the national team"
sty saha ,sty saha
 terima kasih banyak buat sty yg sdh merubah mentalitas para pemain muda bgmn seharusnya disiplin seorang profesional jgn terlalu sedih siap2 aja nanti ketawa di pojokan liat hasil pk pelatih pengganti anda biar kita aja yg kesal dan nangis krn sepak bola nya kembali kelam,"Thank you very much for the Sty who has changed the mentality of young players, you should be disciplined for a professional, don't be too sad, just laugh at the corner of the PK results of your replacement coach so that we are annoyed and crying because the football is back dark"
yang penting kita melihat sty pergi dengan banyak cinta dan simpati dari pendukung timnas indonesia ,The important thing is we see Sty going with a lot of love and sympathy from supporters of the Indonesian national team
pak et sama2 keluarkan uang mohon pelatih baru nanti sekelas shin tae yong jgn yg blm teruji melatih timnas beda dg melatih klub min segregasi timnas lbh meluas trtm ktk tumbang ktk sty sdh temukan formula permainan dan prestasi menanjak pemecatan justru ragukan fans ,"Pak et2 Same to spend money, ask for a new coach later in the same class as Shin Tae Yong, don't be tested to train the national team differently by training the min club segregation, the LBH will expand"
 hrusnya yg di gnti lu goblok msh pnting sty,The one is the one that is giving you pnting sty
 wajar datang kecemasan ini keputusan tepat atau terkesan memaksakan karena emang gak ada urgensi yang harus banget di lakukan pemecetan di waktu sekarang ini kayak perjudian namanya judi wajar buat timbul rasa pesimis bisa kah mas mas problematik ini lebih bagus dari sty ,"Naturally, this anxiety comes the right decision or seem to force it because there is no urgency that has to be done with a hacking at this time like gambling named Gambling Naturally to arise a feeling of pessimistic can be mas, mas problematic"
 et juga jelas kelimpungan bos lawan mafia yg pengin sty out secara et kayak kurang dukungan dari number one di negri ini khusus dlm hal timnas yah waktu jaman jkw kan et dapat dukungan banget dlm membenahi pssi ,"ET is also clearly the confusion of the boss against the mafia who wants to be out in an etc. like lack of support from number one in this country specifically in the national team, well, when it comes to being able to support PSSI"
walaupun orang eropa kalo prestasinya jelek ya tetep jelek anj asia kalo ada prestasi ttp bagus asia goblok aja yg mecat sty didunia atlet yg dilihat prestasi bukan ras,"Even though Europeans, if the achievements are ugly, it will still be ugly, if there is a good achievement, Asia is just a stupid, the athlete who is seen from the achievement is not a race"
 zamhari wkwkw sebutkan siapa pengkritik sty yg juga pengkritik pemerintah ,Zamhari wkwkw mention who criticism of Sty who is also a critic of the government
 bapak kau berbayar klw gk tau sepak bola gk tau louis van gaal mending diam kau nyatuin lvg dan sty itu kyk nyatuin air dan minyak mustahil filosofi beda dan sama2 kepala batu yg ada lvg jd dirtek sty lansung dipecat ngerti kau iq78,"You're paid, if you don't know football, I don't know Louis van Gaal, it's better to unite LVG and Sty, it seems to unite water and oil is impossible for a different philosophy and the same stone head"
 sty akan selalu membayangi level sepakbola yg di bawah standar wkwkwk,Sty will always overshadow the level of football below the standard
pagi pagi ummi nangisin sty dan jadi ikutan nangis,Morning Morning Ummi Nangisin Sty and So Following Crying
 indonesia banget lu min kalau ada musibah positifnya untungnya padahal kalau difikir2 dia gak mau dtg pas pertandingan kualifikasi olimpiade itu sangat menyakitkan tau2 posting dipantai sama ceweknya udh bener apa yg sty lakukan dgn disiplin kuat ,"Indonesia is really Min, if there is a positive disaster, fortunately, even if you think that he doesn't want to get it when the Olympic qualifying match is very painful to know the post on the beach with the girl already really what Sty did with strong discipline"
yeuuu buzzer goblok padahal ya yg dicapai timnas sama sty nih udah melebihi target awal minimal kalo emang mau diganti tunggu r3 wcq kelar dulu lah anjing terus minimal penggantinya lebih baik lah tai jangan downgrade gini si tohir sama buzzer nya goblok semua tai,"Yeuuu buzzer is stupid even though what is achieved by the national team is the same as the style already exceeds the initial target at least if you want to be replaced, wait for the R3 wcq to finish first, the dog and the minimum replacement is better, not to downgrade this tohir and the buzzer is stupid all tai"
 lama lagi timnas indonesia akan berhadapan dengan timnas thailand racikan duet sty dan madam phang can wait ,For a long time the Indonesian national team will face the Thailand national team concocted duet style and madam phang can wait
 sbner kareter org asia pasti lbh paham sesama org asia krna dr rekam jejak timnas asia tenggara tdk pelatih eropa mna pun yg berhasil sukses hanya mentok2nya juara aff sty punya rekam jejek pernh bawa korea selatan ke piala dunia wlpun negara asia tdk permh juara piala dunia,"SBNER Kareter Asia, surely you understand fellow Asia because of the track record of the Southeast Asian national team, the European coach is not even the success of the AFF Sty championship has a recorded record of South Korea to the World Cup."
 sty di ambil dek malay kira2 bakal gmna,"Sty taken by the Malay deck, how will it be"
satt pagi2 berseliweran konten sty pake lagu andmesh anugrah terindah makin sedih aja gilaa gaakan bisa liat lg dia punya passion marah2 ke wasit,in the morning milling about the story of the story using the song Andmesh Anugerah the most beautiful even more sad just crazy or not can see again he has a passion angry to the referee
 harus terima bro emng faktaa kalo prestasi selain piala emng sty gaada obat,"have to accept bro, it is a fact that achievement other than a trophy is not a medicine"
yang ga becus oknum polisi yang dipecat sty,who can't be a police officer who is fired
nyesek bgt tiap liat berita sty lewat tl padahal bukan fans bola jg ,I really stuck every time I saw the news of Sty through TL even though it wasn't a ball fan too
 jadi kangen duet pak iwan bule sama ratu tisha jaman beliau sty dikasih kuasa penuh buat nentuin mau gimana timnas dari pemilihan pemain training center sampe hal detail lainnya ,"So miss the duet Mr. Iwan Bule and Queen Tisha in his day, he was given full power to determine what the national team would be from the election of the training center player to other details"
 pa eto itu politikus jadi doi menerapkannya saat jadi ketum ini aff 2024 ia yg minta pakai pemain usia muda dan tanpa target tapi ketika gagal sty yg di salahkan makanya keluhan sty tentang jadwal pertandingan yg mepet malah di sambut dgn kalimat jangan mengeluh,"Pa Eto is a politician so he applies it when he becomes the Ketum AFF 2024 he asks for using a young player and without a target but when he fails to be blamed so the complaints of Sty about the tight match schedule instead are welcomed with sentences, don't complain"
 iya keputusan diluar dugaan kita semua apa yg disukai rakyat belum tentu tetap dipakek oleh pssi terus terang gw sukak coach sty sepak bola indo naik peringkat viva,"Yes, the decision beyond our guess all what the people like, not necessarily to be packaged by PSSI frankly, I like Coach Sty Football Indo rises ranking in VIVA"
tolong tl ini jangan munculkan berita sty dipecat pssi,Please do not come up with the news of Sty fired by PSSI
bingng dh sm pak et sebenarnya beliau ni ga suka sty atau kalah power sm exco telek itu ya ga make sense bgt soalnya kalo hanya karna kalah aff,"bingng dh sm sir et, actually he doesn't like it or losing the power sm exco the telek is not really sense because if it's only because you are losing affectionate"
kepo dong pada sedih ga sih liat berita sty dipecat ,Kepo please be sad not to see the news of Sty fired
 yep poin kita mecat sty ya karena kita ga napak tanah netizen bawel direktur bawel ngatain miskin taktik padahal they dont even play football gw tau sty bukan pelatih world class tapi pemain kita juga jauh dari kata world class,"Yep Points We Spoke Sty, because we don't do the nagging netizens, the Director of Bawel said poor tactics, even though they are dont even play football, I know that Sty is not a World Class coach but our players are also far from the word world class"
sty di pecat apakah jadi pengalihan isu politik amp hukum yg sedang terjadi di negri inii ,Sty in firing whether to transfer the political issue of the law that is happening in this country
 muslih idup lg cape2nya pk ngebahas kek ginian gus mndg nyari duwit ngopi trus udut an dh plg bnr kek gtu gus gorengan dh nungguin noh smbil gibahin pssi yg brusan mecat sty ,Muslims of many birds pkarhas Ramaan tlean tvedt treaft to find the right to receive the right to help the best to help èbiluin pssi pssip the pssi pcssi who is very
kopi pagi with bung ghandur and binder doo edisi usut tuntas drama pemecatan sty amp kebusukan i dalam dinamika sepakbola nasional ,Coffee Morning with Bung Ghandur and Binder Doo Investigate the Drama Drama Disagreement Sty Amp Demonstration I in the Dynamics of National Football
kadang kita sebagai pengemar tdk tau keadaan yg sebenarnya di dalam pssi cuma yg ga habis pikir klo sty di pecat minimal penggantinya yg lebih baik lah ini yg sdh rame patrick kluivert kayanya sbg pelatih dia tdk lebih baik dr sty tp kita tunggu aja hasilnya,Sometimes we as fans do not know the true situation in PSSI only who can't understand if the style is fired at least a better replace
kaya tuh liat apa yg kalian lakukan knp buang sty gitu gitu lah dan muji kemajuan indo juga gw lupa jelasnya bisa liat di yt nya korea roemit,"like you see what you are doing, why don't you throw it like that and praise indo's progress, I also forget the obvious you can see in the Korean roemit"
 cipeng ganti sty dengan pelatih gak jelas ,Cipeng Change Sty with Coach Unclear
masih ga percaya kalau sty diberhentikan sama pssi gils gils,still don't believe that Sty is stopped by PSSI Gils Gils
ingat sty ingat yoo eun ho ingat masa lalu ,Remember Sty Remember Yoo Eun Ho Remember the Past
meskipun ga ngikutin bola timnas indonesia tapi kaget juga sty dipecat bukannya pencapaiannya udah lumayan banget ya dibanding pelatih2 yg sebelumnya anyway thanks coach sty ,"Even though I didn't follow the Indonesian national team ball, I was also shocked that I was fired, instead of the achievement, it was pretty good compared to the coaches who were previously anyway thanks coach style"
 dulu pk anis kemaren siang sty,Pak Anies used to be yesterday afternoon
pengganti sty ,Sty substitute
padahal era sty entertainment ini aku jadi lumayan jadi ngikutin bola,Even though this Era of Sty Entertainment I became quite following the ball
 menang karena intervensi eric kalah karena masalah internal didalam team termasuk coach sty kocak lu pada ,won because Eric's intervention lost because of internal problems in the team including your hilarious coach style on
sty bisa bawa indonesia ke 16 besar piala asia semifinal piala asia 23 final aff kluivert harus kasih target juga yg melebihi pencapaian sty wajib lolos piala dunia juara piala aff lolos quaters final di piala asia 2027 final piala asia 23 realistis kitamah ,Sty can bring Indonesia to the last 16 of the Asian Asian Cup Asian Cup 23 Final AFF Kluivert must also give a target that exceeds the achievement of Sty Must qualify the AFF Cup World Cup passed the Final quaters in the 2027 Asian Cup Asian Cup 23 Realistic Kitamah
minimal sekali seumur hidup nonton timnas langsung di gbk era sty itu nyata dan sekarang era itu berakhir ,at least once in a lifetime watching the national team directly at the GBK Era Sty is real and now that era is over
 yaiyalah pertimbangan panjang dan matang dari awal menjabat juga et udah ingin mendepak sty itu udah sangat terlihat udah gak kaget ,"yeah, a long and mature consideration from the beginning of office is also ET already want to kick the style already very visible already not surprised"
 lha rumornya mess malah bersitegang sm sty pemicunya salah satunya itu makanya statement et itu komunikasi dan taktik yg diterima pemain makanya pas lawan arab bang jay inisiatif mengumpulkan pemain rapat sebelum main spt yg beredar videonya,"The rumors are the mess, even the triggering of the trigger, so the statement is communication and the tactics received by the players, so when you are against Arabic, the initiative is to collect the meeting before playing the like the video circulating the video"
 wkwkwkw ya semua kecewa sty dipecat tapi tolol aja kalo percaya sama omongan orang tiktok ,"wkwkwkw, all of them are disappointed, but just stupid if you believe in the words of the tiktok"
 berantem itu kata yg punya bnyk arti entah dari argumen yg tidk sesuai dengan skema taktik yg berimbas ketidk kondusif an ruang ganti seprti yg sudh setelah match lawan cina sampai hari ini sty emng tidk punya plan b dan itu fakta,"fighting is a word that has many meaning from the argument that is not in accordance with the tactic scheme that has an impact conducive and the dressing room is like after matching China to this day, I don't have a plan B and that's a fact"
 hakunamatata bukan dia yg hire sty,Hakunamatata is not Hire Hire Sty
 sayang banget padahal sty yang bikin aku semangat lagi nonton timnas terakhir punya hype tinggi kaya gini waktu aff 2010 krn bukan hooligan bola jg sih apalagi beberapa waktu ini rela sampai langganan rtci plus buat nontonin timnas tok berharap wes bisa masuk pildun ,"It's a shame even though Sty that makes me enthusiastic about watching the last national team has a high hype like this time AFF 2010 because it's not a ball hooligan too, especially since this time is willing to subscribe to RTCI Plus for watching the Tok national team hoping WES can enter PILDUN"
 krn kalo timnas sukses org akan menyanjung sty ketum ketutup itu tidak bagus bwt 2029,because if the national team successful people will flatter the closure's closure's Ketum is not good BWT 2029
dari kasus sty kita belajar mau serajin apapun se menyenangkan apapun se berpeestasi apapun mau disukai peer mau gendong tim sendirian kalau atasan ga suka ya tetap akan diganti dengan orang yang atasan suka relate kan ,"From the case of Sty we learn to want any fun as much as anything as an achievement, if you want to be liked by Peer, you want to carry the team alone if the boss doesn't like it, you will still be replaced with people who are relatives, right?"
 ina cuma yg gak tau sepak bola kritik sty out,Ina is just those who don't know soccer criticism style out
 pengganti sty yang paling cocok itu cuma sby,The most suitable replacement for Sty is only SBY
 sty keren ga nyangka pemain indonesia dibawah asuhan lo dah ky pemain dunia enak ditonton,Sty cool never thought Indonesian players were under your care and world players were good to watch
masih kesel sty out dan liat peluang indonesia lolos ke pildun kok sedih ya 2025 blm seminggu indonesia gini amat yak ,"still upset and see the opportunity for Indonesia to qualify for pildun, how come it's sad, 2025 hasn't been a week, Indonesia is very"
 jangan netz kita sebagai warga lokal aja bingung alasan pemecatan sty inimah besok waktu temennya spongebob aka patrick nyampe indonesia ada baenya lemparin telur sama bantal guling ajaa ,"Don't netz, as local residents, just confused the reason for the dismissal of this style tomorrow when his friend Spongebob aka Patrick arrived in Indonesia, there was a bae."
 karena indonesia emang nggak deserve coach sty,because Indonesia is not deserve coach style
 yang gak bisa kerja polisi malah sty yg dipecat,who can't work for the police even the style is fired
sekarang beban itu ada di federasi dan penerus sty sty sudah bisa hidup lebih tenang posisi kita melihat dan menunggu akan kearah mana ni timnas apakah lebih bagus atau lebih butuh kita lihat nanti dukungan tetep untuk timnas indonesia karena mendukung timnas adalah patah,"Now the burden is in the federation and the successor to Sty Sty can live more calmly, the position of us to see and wait for which the national team will be better or more we need to see later support for the Indonesian national team because supporting the national team is a broken team"
 id media diem dulu napa masih gk terima gw sty dipecat buadjingannnn,"the media ID is silent first, why can't I accept it, I was fired by buadjingannnn"
 ada dinamika sama sty takutnya bakal di blacklist yg ngespil banyak wartawan bukan gw yg ngomong,"There is a dynamic with Sty, afraid that it will be in the blacklist who explores a lot of journalists, not me who says"
 timnas naek kelas dunia udah di jalan yang bener is nasional sty asia lvg dunia step by step semoga terpelihara sampe pildun,"The world -class national team is already on the true road is national style lvg world step by step, hopefully it will be maintained until pilduun"
 kalo timnas masuk piala dunia yg dpt sorotan sty bukan erik kalo udh di ganti gini artinya erik sedang gambling kalo udah di ganti dan lolos pasti yg kena sorot bukan pelatih baru tapi erik,"if the national team enters the world cup that can be highlighted, not Erik if it's already replaced like this, it means that Erik is gambling if it's already replaced and qualified"
 dimass kaya lu cakep aja yg diaomongin kan fakta terkecuali prestasi sty nah baru banyak,"Dimas, you're just cute, the facts are talked about except Sty's achievements, there are only many"
 id alasannya target piala ciki tdk terpenuhi gara2 sty mendobrak pakem piala ciki skenario bandar jadi bubar,ID The reason is that the Ciki Cup target is not fulfilled because Sty breaks the Ciki Cup standard of the Bandar scenario so it disperse
 tetap sedih melihat wajah sty andaikan ada kegagalan andaikan peltaih yg jelek andaikan tidak ada prestasi pastinya tidak sulit untuk menerima perubahan namun saat coach sty mengujir prestasi baru timnas disaat asik2nya disaat bangga bangganya disaat harapan,"Stay sad to see the face of Sty if there is a failure if a bad peltrah If there is no achievement, certainly not difficult to accept changes, but when coach style aims the new achievements of the national team when it is fun when proud"
 faktanya lawan arab menang krn pemain gak ikuti taktik sty bang jay yg ngumpulkan pemain bahas taktik ,The fact is that Arab's opponents won because the players did not join the tactics of Sty Bang Jay who collected players discussing tactics
